@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
°	q:4,
±	w:16,
±％	w:11,m:7,
·	w:234,
×	w:42,nx:2,m:4,
××	w:3,nx:7,m:1,
×××	nx:3,
××丹	n:1,
××净	n:1,
××灵	n:1,
××神	n:1,
α粒子	n:1,
—	w:1781,
——	w:377,
———	w:3308,
—————	w:4,
——－	w:8,
—０·３	m:1,
—０·４	m:1,
—０·５	m:1,
—０·６	m:1,
—０·７	m:2,
—０·８	m:1,
—０·９	m:1,
—０．１	m:13,
—０．２	m:18,
—０．３	m:14,
—０．４	m:19,
—０．４％	m:1,
—０．５	m:21,
—０．６	m:14,
—０．７	m:13,
—０．８	m:13,
—０．８％	m:1,
—０．９	m:16,
—１·０	m:1,
—１·１	m:2,
—１·２％	m:1,
—１·３	m:1,
—１·４	m:1,
—１·９	m:1,
—１．０	m:12,
—１．１	m:14,
—１．２	m:13,
—１．３	m:13,
—１．４	m:22,
—１．５	m:14,
—１．６	m:10,
—１．７	m:10,
—１．８	m:16,
—１．９	m:13,
—２·５	m:1,
—２·６	m:1,
—２·８	m:1,
—２．０	m:11,
—２．１	m:8,
—２．２	m:3,
—２．３	m:7,
—２．４	m:10,
—２．５	m:15,
—２．６	m:7,
—２．７	m:10,
—２．８	m:9,
—２．９	m:4,
—３．０	m:10,
—３．１	m:6,
—３．２	m:4,
—３．３	m:4,
—３．４	m:2,
—３．５	m:2,
—３．６	m:4,
—３．７	m:2,
—３．８	m:3,
—３．９	m:1,
—４．０	m:3,
—４．１	m:2,
—４．２	m:1,
—４．３	m:5,
—４．５	m:2,
—４．６	m:1,
—４．７	m:3,
—５·５	m:1,
—５．０	m:2,
—５．１	m:1,
—５．２	m:1,
—５．３	m:2,
—５．５	m:4,
—５．６	m:1,
—５．７	m:2,
‘	w:797,
‘和’平	n:1,
’	w:1173,
“	w:47162,
“点茶	j:1,
”	c:1,v:1,w:47093,
……	w:1880,
‰	w:1,
′	q:4,w:2,
※	w:6,
℃	q:62,
Ⅰ	m:3,
Ⅰ型	n:2,
Ⅰ级	b:2,
Ⅱ	m:8,
Ⅱ型	n:3,
Ⅱ线	n:1,
Ⅲ	m:9,
Ⅳ	m:4,
Ⅴ	m:5,
ⅰ１９９４ⅱ４０号	n:1,
ⅱ第２５４号	n:1,
→	w:2,
∥	w:2,
∶	w:17,
≠	w:1,
①	w:3,m:37,
②	w:2,m:37,
③	w:2,m:36,
④	w:2,m:13,
④：两	m:1,
⑤	w:2,m:7,
⑥	w:1,m:5,
⑦	w:1,m:2,
⑧	m:1,
⑵	w:6,
⑶	w:5,
─	w:1,
□	w:3,
▲	w:105,
△	w:47,
○	w:15,m:18,
○一三	m:1,
○四	m:1,
●	w:298,
★	w:14,
、	w:126957,
。	w:224942,
。”	w:1,
〈	w:59,
〈扌从〉普	nr:1,
〈民音〉	nr:1,
〉	w:60,
《	w:12309,
》	w:12309,
『	v:1,w:3832,
『一点	m:1,
『万新	nz:1,
』	w:3821,
【	w:2,
】	w:2,
〔	w:34,
〕	w:33,m:1,
一	q:3,d:1726,nr:7,j:2,m:43083,n:3,
一·二	m:1,
一·二一	t:1,
一·二八	t:1,
一○一	m:4,
一○六	m:1,
一一	d:110,m:1,
一一○	m:34,
一一五	m:2,
一一五一年	t:1,
一一列举	l:1,
一一道来	l:1,
一丁	nr:1,
一丁点儿	m:2,
一万	m:68,
一万一千	m:1,
一万一千二百	m:1,
一万七千	m:3,
一万七千五百二十九亿	m:1,
一万三千	m:4,
一万两千	m:1,
一万九千	m:1,
一万九千四百	m:1,
一万二千	m:7,
一万二千七百五十八	m:1,
一万二千二百一十四	m:1,
一万二千四百	m:1,
一万二千四百零八	m:1,
一万五千	m:4,
一万五千六百	m:1,
一万八	m:1,
一万八千	m:5,
一万六千	m:1,
一万四千	m:4,
一万四千七百二十	m:1,
一万零一百二十亿	m:1,
一万零一百六十八万	m:1,
一三二	m:1,
一上午	t:6,
一下	d:4,m:323,
一下子	d:10,m:143,
一不为名	l:1,
一不做	i:1,
一不小心	l:7,
一不怕苦	l:2,
一专多能	i:10,
一世	n:1,
一丘丘	m:1,
一业	n:1,
一业为主	l:7,
一业化	v:2,
一丛丛	m:7,
一丝一毫	i:6,
一丝不苟	i:39,
一丝丝	m:3,
一两	m:134,n:1,
一两万	m:5,
一两千	m:3,
一两点钟	t:4,
一两百	m:2,
一个	m:12656,
一个个	m:213,
一个劲	d:8,
一个劲儿	d:8,
一个半	m:51,
一个样	u:1,l:14,
一个样儿	l:1,
一中	nr:1,j:33,
一中一台	j:20,l:6,
一中全会	j:13,
一串	m:2,
一串串	m:16,
一串红	n:1,
一丹	nr:2,
一主三多一少	j:1,
一举	d:106,
一举一动	i:12,
一举三得	l:1,
一举两得	i:11,
一举四得	l:1,
一举多得	l:4,
一举成名	i:6,
一举数得	l:1,
一乐	nr:1,
一九	m:1,
一九○○年	t:1,
一九○一年	t:1,
一九一七年	t:1,
一九一三年	t:2,
一九一九年	t:3,
一九一五年	t:1,
一九一四年	t:1,
一九七○年	t:2,
一九七一年	t:1,
一九七七年	t:1,
一九七三年	t:2,
一九七九年	t:4,
一九七二年	t:4,
一九七五年	t:2,
一九七八	m:1,
一九七八年	t:12,
一九七六年	t:5,
一九七四年	t:1,
一九三○年	t:3,
一九三一年	t:3,
一九三七年	t:2,
一九三三年	t:1,
一九三九年	t:1,
一九三二年	t:2,
一九三五年	t:1,
一九三六年	t:1,
一九三四年	t:1,
一九九○年	t:10,
一九九一年	t:18,
一九九七	m:22,
一九九七年	t:145,
一九九三年	t:24,
一九九九	m:7,
一九九九年	t:14,
一九九二	m:1,
一九九二年	t:33,
一九九五年	t:42,
一九九八	m:12,
一九九八年	q:1,t:135,
一九九六	m:5,
一九九六年	q:1,t:59,
一九九六．四．五	t:1,
一九九四年	t:26,
一九二○年	t:1,
一九二一年	t:1,
一九二七年	t:5,
一九二八年	t:2,
一九二六年	t:1,
一九五○年	t:2,
一九五七年	t:2,
一九五三年	t:6,
一九五九年	t:2,
一九五二年	t:2,
一九五五年	t:1,
一九五八年	t:7,
一九五六	m:1,
一九五六年	t:3,
一九五四年	t:6,
一九八○年	t:5,
一九八一年	t:3,
一九八七年	t:6,
一九八三年	t:7,
一九八九年	t:2,
一九八二年	t:6,
一九八五年	t:6,
一九八八年	t:8,
一九八六年	t:8,
一九八四年	t:7,
一九六○年	t:3,
一九六一年	t:2,
一九六七年	t:3,
一九六三	m:1,
一九六三年	t:5,
一九六二年	t:4,
一九六五年	t:2,
一九六八年	t:3,
一九六六年	t:3,
一九六四年	t:3,
一九四○年	t:3,
一九四一年	t:4,
一九四七年	t:5,
一九四三年	t:3,
一九四九年	q:1,t:11,
一九四二年	t:4,
一九四五年	t:4,
一九四八年	q:1,t:3,
一九四六年	t:1,
一九四四年	t:1,
一书	n:1,
一了百了	i:1,
一事当前	l:1,
一事无成	i:7,
一二	m:22,
一二·一	m:1,
一二·九	t:6,m:3,
一二一	m:1,
一二七	m:2,
一二三	m:11,
一二三四	m:2,
一二九	m:2,
一二十	m:17,
一二千万	m:1,
一二审	vn:1,
一二年期	j:1,
一二月	t:3,
一二月份	t:3,
一二点	t:1,
一二百	m:10,
一二级	b:2,
一五	m:5,
一五○六年	t:1,
一五一十	i:1,
一五二	m:3,
一些	r:2,m:5179,
一产	j:1,
一亩泉	ns:1,
一人得道	i:3,
一亿	m:12,
一亿一千七百万	m:1,
一亿一千万	m:1,
一亿二	m:1,
一亿五千万	m:3,
一亿八千五百万	m:1,
一介书生	l:3,
一代	q:1,m:9,n:316,
一代人	n:84,
一代代	m:12,
一以贯之	i:22,
