@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
°	q:4,
±	w:16,
±％	w:11,m:7,
·	w:238,
×	w:44,m:4,nx:2,
××	w:4,m:1,nx:7,
×××	nx:3,
××丹	n:1,
××净	n:1,
××灵	n:1,
××神	n:1,
α粒子	n:1,
[	w:10
]	w:10
—	w:1865,
——	w:400,
———	w:3479,
—————	w:4,
——－	w:8,
—０·３	m:1,
—０·４	m:1,
—０·５	m:1,
—０·６	m:1,
—０·７	m:2,
—０·８	m:1,
—０·９	m:1,
—０．１	m:13,
—０．２	m:18,
—０．３	m:14,
—０．４	m:19,
—０．４％	m:1,
—０．５	m:21,
—０．６	m:15,
—０．７	m:14,
—０．８	m:14,
—０．８％	m:1,
—０．９	m:16,
—１·０	m:1,
—１·１	m:2,
—１·２％	m:1,
—１·３	m:1,
—１·４	m:1,
—１·９	m:1,
—１．０	m:12,
—１．１	m:15,
—１．２	m:14,
—１．３	m:13,
—１．４	m:23,
—１．５	m:14,
—１．６	m:10,
—１．７	m:11,
—１．８	m:16,
—１．９	m:15,
—２·５	m:1,
—２·６	m:1,
—２·８	m:1,
—２．０	m:12,
—２．１	m:9,
—２．２	m:4,
—２．３	m:8,
—２．４	m:10,
—２．５	m:15,
—２．６	m:7,
—２．７	m:10,
—２．８	m:9,
—２．９	m:4,
—３．０	m:10,
—３．１	m:6,
—３．２	m:4,
—３．３	m:4,
—３．４	m:3,
—３．５	m:2,
—３．６	m:4,
—３．７	m:2,
—３．８	m:3,
—３．９	m:1,
—４．０	m:3,
—４．１	m:2,
—４．２	m:1,
—４．３	m:6,
—４．５	m:2,
—４．６	m:1,
—４．７	m:4,
—４．９	m:1,
—５·５	m:1,
—５．０	m:3,
—５．１	m:1,
—５．２	m:1,
—５．３	m:2,
—５．５	m:5,
—５．６	m:2,
—５．７	m:2,
‘	w:843,
‘和’平	n:1,
’	w:1239,
“	w:49722,
“点茶	j:1,
”	w:49651,v:1,c:1,
……	w:1986,
‰	w:1,
′	w:2,q:4,
※	w:6,
℃	q:62,
Ⅰ	m:3,
Ⅰ型	n:2,
Ⅰ级	b:2,
Ⅱ	m:8,
Ⅱ型	n:3,
Ⅱ线	n:1,
Ⅲ	m:9,
Ⅳ	m:4,
Ⅴ	m:8,
ⅰ１９９４ⅱ４０号	n:1,
ⅱ第２５４号	n:1,
→	w:2,
∥	w:2,
∶	w:17,
≠	w:1,
①	w:3,m:41,
②	w:2,m:40,
③	w:2,m:38,
④	w:2,m:14,
④：两	m:1,
⑤	w:2,m:8,
⑥	w:1,m:5,
⑦	w:1,m:2,
⑧	m:1,
⑵	w:6,
⑶	w:5,
─	w:1,
□	w:3,
▲	w:114,
△	w:50,
○	w:16,m:18,
○一三	m:1,
○四	m:1,
●	w:306,
★	w:14,
、	w:134293,
。	w:237134,
。”	w:1,
〈	w:64,
〉	w:65,
《	w:13013,
》	w:13013,
『	w:4063,v:1,
『一点	m:1,
『万新	nz:1,
』	w:4051,
【	w:2,
】	w:2,
〔	w:35,
〕	w:34,m:1,
一	d:1817,q:3,n:3,m:45446,j:2,
一·二	m:1,
一·二一	t:1,
一·二八	t:1,
一○○	m:1,
一○一	m:4,
一○一中学	nt:4,
一○六	m:1,
一一	d:112,m:1,
一一○	m:36,
一一五	m:2,
一一五一年	t:1,
一一列举	l:1,
一一道来	l:1,
一丁点儿	m:2,
一万	m:71,
一万一千	m:1,
一万一千二百	m:1,
一万七千	m:3,
一万七千五百二十九亿	m:1,
一万三千	m:5,
一万两千	m:1,
一万九千	m:1,
一万九千四百	m:1,
一万九千零八十五	m:1,
一万二千	m:7,
一万二千七百五十八	m:1,
一万二千二百一十四	m:1,
一万二千四百	m:1,
一万二千四百零八	m:1,
一万五千	m:4,
一万五千六百	m:1,
一万八	m:1,
一万八千	m:5,
一万六千	m:1,
一万四千	m:4,
一万四千七百二十	m:1,
一万零一百二十亿	m:1,
一万零一百六十八万	m:1,
一三二	m:1,
一上午	t:6,
一下	d:4,m:349,
一下子	d:10,m:148,
一不为名	l:1,
一不做	i:1,
一不做二不休	i:1,
一不小心	l:7,
一不怕苦	l:2,
一不怕苦二不怕死	l:2,
一专多能	i:10,
一世	n:1,
一丘丘	m:1,
一业	n:1,
一业为主	l:8,
一业化	v:2,
一丛丛	m:7,
一丝一毫	i:6,
一丝不苟	i:41,
一丝丝	m:3,
一两	n:1,m:141,
一两万	m:6,
一两千	m:3,
一两点	t:1,
一两点钟	t:4,
一两百	m:2,
一个	m:13329,
一个个	m:224,
一个劲	d:10,
一个劲儿	d:8,
一个半	m:54,
一个样	u:1,l:14,
一个样儿	l:1,
一中	j:33,
一中一台	l:7,j:22,
一中全会	j:13,
一串	m:2,
一串串	m:18,
一串红	n:1,
一主三多一少	j:1,
一举	d:110,
一举一动	i:13,
一举三得	l:1,
一举两得	i:11,
一举四得	l:1,
一举多得	l:5,
一举成名	i:6,
一举数得	l:1,
一九	m:1,
一九○○年	t:1,
一九○一年	t:1,
一九一七年	t:1,
一九一三年	t:2,
一九一九年	t:3,
一九一五年	t:1,
一九一四年	t:1,
一九七○年	t:2,
一九七一年	t:1,
一九七七年	t:1,
一九七三年	t:2,
一九七九年	t:5,
一九七二年	t:5,
一九七五年	t:2,
一九七八	m:1,
一九七八年	t:15,
一九七六年	t:5,
一九七四年	t:1,
一九三○年	t:3,
一九三一年	t:4,
一九三七年	t:2,
一九三三年	t:1,
一九三九年	t:1,
一九三二年	t:2,
一九三五年	t:1,
一九三六年	t:1,
一九三四年	t:2,
一九九○年	t:11,
一九九一年	t:19,
一九九七	m:22,
一九九七年	t:154,
一九九三年	t:26,
一九九九	m:8,
一九九九年	t:15,
一九九二	m:1,
一九九二年	t:35,
一九九五年	t:44,
一九九八	m:12,
一九九八年	t:146,q:1,
一九九六	m:5,
一九九六年	t:62,q:1,
一九九六．四．五	t:1,
一九九四年	t:26,
一九二○年	t:1,
一九二一年	t:1,
一九二七年	t:6,
一九二八年	t:2,
一九二六年	t:1,
一九五○年	t:2,
一九五七年	t:3,
一九五三年	t:8,
一九五九年	t:3,
一九五二年	t:3,
一九五五年	t:1,
一九五八年	t:8,
一九五六	m:1,
一九五六年	t:4,
一九五四年	t:7,
一九八○年	t:6,
一九八一年	t:5,
一九八七年	t:7,
一九八三年	t:9,
一九八九年	t:2,
一九八二年	t:9,
一九八五年	t:8,
一九八八年	t:9,
一九八六年	t:10,
一九八四年	t:7,
一九六○年	t:4,
一九六一年	t:3,
一九六七年	t:3,
一九六三	m:1,
一九六三年	t:5,
一九六九年	t:1,
一九六二年	t:4,
一九六五年	t:3,
一九六八年	t:4,
一九六六年	t:3,
一九六四年	t:3,
一九四○年	t:4,
一九四一年	t:4,
一九四七年	t:5,
一九四三年	t:3,
一九四九年	t:11,q:1,
一九四二年	t:4,
一九四五年	t:4,
一九四八年	t:3,q:1,
一九四六年	t:1,
一九四四年	t:1,
一书	n:1,
一了百了	i:1,
一事当前	l:1,
一事无成	i:9,
一二	m:25,
一二·一	m:1,
一二·九	t:7,m:3,
一二·九爱国学生运动	nz:1,
一二一	m:1,
一二七	m:2,
一二三	m:12,
一二三四	m:2,
一二九	m:2,
一二十	m:17,
一二千	m:1,
一二千万	m:1,
一二审	vn:1,
一二年期	j:1,
一二月	t:3,
一二月份	t:3,
一二点	t:1,
一二百	m:12,
一二级	b:2,
一五	m:5,
一五○六年	t:1,
一五一十	i:1,
一五二	m:3,
一些	r:2,m:5456,
一产	j:1,
一亩泉	ns:1,
一人得道	i:3,
一人得道鸡犬升天	i:2,
一亿	m:13,
一亿一千七百万	m:1,
一亿一千万	m:1,
一亿二	m:1,
一亿五千万	m:3,
